name,url,status,size,sha256,error
opam,https://raw.githubusercontent.com/ocaml/opam/master/shell/install.sh,ok,90932,d13c23a221aa8726ab52bfdf6228f71a3abb9a5c1e9ab7df461539235dd5775f,
openvpn-install,https://raw.githubusercontent.com/angristan/openvpn-install/master/openvpn-install.sh,ok,149588,d92c43687dad6f5da0b1a682b3ce16fd3d46a3b285ed9b1b81a093854502ea57,
outline-server,https://raw.githubusercontent.com/Jigsaw-Code/outline-server/master/src/server_manager/install_scripts/install_server.sh,ok,21429,6cadc866cf901beb89473e61ab9ca7c63fac56b7d614be6c592b25a1465fa0d2,
roswell,https://raw.githubusercontent.com/roswell/roswell/release/scripts/install-for-ci.sh,ok,9787,147de589937c69b5802991510efdf1b1ef4b063b99f1a7faad95dbc4e798bfc1,
shadowsocks-install,https://raw.githubusercontent.com/teddysun/shadowsocks_install/master/shadowsocks-all.sh,ok,23058,0852aa568f2f9c516c84f7cf18472c95c472b2930936d7923756adb3bba02b76,
starknet-foundry,https://raw.githubusercontent.com/foundry-rs/starknet-foundry/master/scripts/install.sh,ok,1616,875d9d9be5b099841be123800f989edd5cdaee048ffb90baf7bd52babbf57e0d,
sysdig,https://s3.amazonaws.com/download.draios.com/stable/install-sysdig,ok,5325,57e71172b97f58fee612c66427885103a1ba7f38efc8ff2aa89bd445fce45634,
tfswitch,https://raw.githubusercontent.com/warrensbox/terraform-switcher/release/install.sh,ok,9272,4cbb325327317abcd05c2817565a2c781ecb7cd3db16c040fe026f6444f11acc,
v2ray,https://raw.githubusercontent.com/v2fly/fhs-install-v2ray/master/install-release.sh,ok,22562,e82217ce0db9e68f41ca34521ecd4ac98018d22d9ddd83e1316c74fb805603ae,
wireguard-install,https://raw.githubusercontent.com/angristan/wireguard-install/master/wireguard-install.sh,ok,21103,e5729fa20d6cc48e1de7616427762bbfde905eb3c806fef5810d71dc65bd681c,
xray,https://raw.githubusercontent.com/XTLS/Xray-install/main/install-release.sh,ok,31219,7f70c95f6b418da8b4f4883343d602964915e28748993870fd554383afdbe555,
determinate-nix,https://install.determinate.systems/nix,ok,19299,efda20b2cc3a012ea750d670e74670c155da3c291bc1021c5951a2310cbf2647,
doppler-cli,https://cli.doppler.com/install.sh,ok,18946,f63b7a860fd824f6eb76c1315790ab54fc4aa86242beb39c03f815a2abd4897c,
k3d,https://raw.githubusercontent.com/k3d-io/k3d/main/install.sh,ok,7144,f360710b6555d7b95f510b583b7c6050c6453e5b1d91cbb046864897d5915347,
kustomize,https://raw.githubusercontent.com/kubernetes-sigs/kustomize/master/hack/install_kustomize.sh,ok,4739,0a76e6dd4e73b9bc0cac5ba9f014bf04f07c462de234ebcabc0bddf79c3ccc0d,
modular,https://get.modular.com,ok,4173,8b67fb2558cda8d7be4a5313b4bbff71ea80f787a9374c9c260f58319f14724f,
